,competitor_count_visit,first_competitor,second_competitor,count_of_competitor
3926,4,0,4,1
3927,12,12,0,1
3928,208,193,15,2
3929,54,48,6,2
3932,79,76,3,2
3933,1,0,1,1
3934,1,1,0,1
3936,13,4,9,2
3938,1299,1299,0,1
3943,47,47,0,1
3944,18,9,9,2
3945,20,20,0,1
3947,9,4,5,2
3951,24,13,11,2
3953,13,3,10,2
3954,4,0,4,1
3956,1,0,1,1
3957,1,0,1,1
3958,2,1,1,2
3959,4,1,3,2
3966,32,31,1,2
3969,2,0,2,1
3972,1,0,1,1
3980,27,25,2,2
3981,4,2,2,2
3984,5,5,0,1
3985,29,18,11,2
3990,20,20,0,1
3992,42,42,0,1
3998,432,3,429,2
4000,1,1,0,1
4003,9,0,9,1
4005,28,28,0,1
4009,22,22,0,1
4012,2,1,1,2
4014,1,1,0,1
4015,106,106,0,1
4016,12,9,3,2
4017,7,0,7,1
4018,18,1,17,2
4021,201,0,201,1
4023,10,0,10,1
4024,64,64,0,1
4026,1,1,0,1
4027,5,3,2,2
4029,10,1,9,2
4030,52,34,18,2
4031,3,3,0,1
4033,38,37,1,2
4034,3,2,1,2
4037,1,0,1,1
4039,19,18,1,2
4040,21,9,12,2
4042,8,0,8,1
4043,2,1,1,2
4044,2,0,2,1
4045,11,10,1,2
4047,95,95,0,1
4049,9,6,3,2
4050,10,3,7,2
4051,5,2,3,2
4052,1,0,1,1
4053,7,3,4,2
4054,28,28,0,1
4055,5,3,2,2
4056,5,5,0,1
4059,16,1,15,2
4061,1,0,1,1
4062,2,1,1,2
4064,37,37,0,1
4078,1,0,1,1
4080,29,29,0,1
4082,2,1,1,2
4083,2,2,0,1
4084,50,0,50,1
4085,4,1,3,2
4086,1,0,1,1
4089,41,10,31,2
4091,1,0,1,1
4092,3,0,3,1
4094,1,0,1,1
4095,4,2,2,2
4097,2,1,1,2
4101,3,1,2,2
4102,8,8,0,1
4103,17,9,8,2
4105,4,2,2,2
4108,124,123,1,2
4115,1,0,1,1
4118,3,0,3,1
4123,1,0,1,1
4125,55,27,28,2
4126,4,0,4,1
4127,201,70,131,2
4128,1,0,1,1
4129,2,1,1,2
4130,23,23,0,1
4135,1,1,0,1
4137,16,16,0,1
4141,1,0,1,1
4144,2,2,0,1
4146,3,3,0,1
4148,10,0,10,1
4153,14,11,3,2
4154,13,11,2,2
4155,12,10,2,2
4160,7,4,3,2
4164,4,3,1,2
4167,9,9,0,1
4169,1,0,1,1
4170,19,1,18,2
4176,6,2,4,2
4178,9,2,7,2
4179,6,2,4,2
4180,36,36,0,1
4181,5,0,5,1
4182,51,4,47,2
4183,1,0,1,1
4187,78,75,3,2
4189,15,13,2,2
4191,23,0,23,1
4192,11,11,0,1
4193,26,26,0,1
4194,7,4,3,2
4199,1,0,1,1
4201,1,1,0,1
4203,1029,1029,0,1
4204,3,0,3,1
4205,2,0,2,1
4208,2,1,1,2
4210,43,43,0,1
4211,1,0,1,1
4213,11,4,7,2
4214,2,1,1,2
4216,7,0,7,1
4218,2,0,2,1
4219,2,0,2,1
4221,1,0,1,1
4222,28,28,0,1
4224,34,34,0,1
4230,24,24,0,1
4236,2,2,0,1
4238,18,0,18,1
4239,1,0,1,1
4240,112,91,21,2
4241,3,2,1,2
4242,6,4,2,2
4243,6,5,1,2
4246,271,270,1,2
4248,10,6,4,2
4253,2,0,2,1
4259,484,476,8,2
4260,9,9,0,1
7780,83,83,0,1
7785,10,7,3,2
7799,1,1,0,1
7805,2,0,2,1
7807,1,1,0,1
7821,29,16,13,2
7834,13,7,6,2
7840,15,8,7,2
7847,44,39,5,2
7856,27,14,13,2
7865,196,195,1,2
7868,10,1,9,2
7873,1,1,0,1
7875,1,0,1,1
7885,1,1,0,1
7886,12,11,1,2
7897,44,43,1,2
7905,1,0,1,1
7914,10,5,5,2
7915,1,0,1,1
7916,2,0,2,1
7918,11,3,8,2
7919,18,9,9,2
7930,160,159,1,2
7937,19,11,8,2
7943,25,3,22,2
7957,114,35,79,2
7965,1,0,1,1
7981,55,34,21,2
7986,8,2,6,2
7993,158,158,0,1
8000,16,10,6,2
8003,10,7,3,2
8023,9,9,0,1
8040,2,0,2,1
8044,26,2,24,2
8052,4,0,4,1
8055,4,0,4,1
8057,1,0,1,1
8058,23,1,22,2
8075,1777,1769,8,2
8080,6,1,5,2
8084,85,76,9,2
8091,2,0,2,1
8096,1,1,0,1
8102,6,3,3,2
8109,3,3,0,1
8112,4,2,2,2
8120,5,0,5,1
8127,8,4,4,2
8135,2,0,2,1
8140,1,0,1,1
8142,1,0,1,1
8155,9,3,6,2
8157,5,5,0,1
8170,226,217,9,2
8193,3,0,3,1
8219,4,0,4,1
8236,1,0,1,1
8238,8,7,1,2
8243,1,0,1,1
8250,4,2,2,2
8254,29,29,0,1
8259,2,1,1,2
8264,25,2,23,2
8279,1,0,1,1
8283,23,18,5,2
8287,128,64,64,2
8299,1,0,1,1
8301,1,0,1,1
8311,1,0,1,1
8313,44,44,0,1
8321,13,13,0,1
8342,1,0,1,1
8343,1,0,1,1
8356,139,137,2,2
8365,3,2,1,2
8376,58,57,1,2
8381,6,6,0,1
8389,2,2,0,1
8392,1,0,1,1
8396,6,0,6,1
8397,2,1,1,2
8411,1,0,1,1
8428,1,0,1,1
8431,2,0,2,1
8434,204,204,0,1
8436,6,2,4,2
8445,7,3,4,2
8475,26,20,6,2
8483,2,1,1,2
8495,87,43,44,2
8503,11,5,6,2
8526,2,1,1,2
8544,37,37,0,1
8554,4,0,4,1
8562,9,9,0,1
8567,44,11,33,2
8569,1,0,1,1
8570,126,0,126,1
8572,6,5,1,2
8577,104,0,104,1
8579,967,965,2,2
8586,20,20,0,1
8597,4,1,3,2
8599,1,0,1,1
8603,1,0,1,1
8604,9,3,6,2
8605,15,10,5,2
8616,1,0,1,1
8621,9,9,0,1
8631,16,16,0,1
8634,85,85,0,1
8635,65,63,2,2
8640,1,0,1,1
8652,23,22,1,2
8678,2,2,0,1
8680,5,0,5,1
8691,32,15,17,2
8699,33,13,20,2
8700,838,838,0,1
8754,8,4,4,2
8762,6,4,2,2
8764,2,2,0,1
8768,16,0,16,1
8777,40,7,33,2
8778,66,6,60,2
8779,1,1,0,1
8780,42,0,42,1
8781,55,4,51,2
8783,52,9,43,2
8784,61,9,52,2
8785,59,9,50,2
8786,65,3,62,2
8787,63,8,55,2
8788,53,5,48,2
8789,58,6,52,2
8790,55,3,52,2
8791,52,8,44,2
8792,63,10,53,2
8793,47,6,41,2
8794,51,7,44,2
8798,52,10,42,2
8799,51,6,45,2
8800,55,4,51,2
8801,54,3,51,2
8802,49,5,44,2
8803,58,7,51,2
8804,55,9,46,2
8805,62,8,54,2
8806,54,11,43,2
8807,56,3,53,2
8808,52,4,48,2
8809,51,9,42,2
8810,62,12,50,2
8811,50,2,48,2
8812,48,8,40,2
8813,54,7,47,2
8814,46,5,41,2
8815,53,5,48,2
8816,54,9,45,2
8818,50,6,44,2
8819,2,2,0,1
8820,63,7,56,2
8821,48,8,40,2
8822,61,7,54,2
8823,60,8,52,2
8824,53,3,50,2
8825,45,6,39,2
8826,49,6,43,2
8827,46,4,42,2
8828,66,5,61,2
8829,59,6,53,2
8830,56,3,53,2
8831,54,7,47,2
8832,50,9,41,2
8833,56,8,48,2
8834,68,12,56,2
8835,62,7,55,2
8836,46,9,37,2
8837,47,5,42,2
8838,28,4,24,2
8839,52,8,44,2
8840,50,7,43,2
8841,3,1,2,2
8842,51,11,40,2
8844,49,8,41,2
8845,52,6,46,2
8846,45,4,41,2
8847,59,6,53,2
8848,61,9,52,2
8849,46,3,43,2
8850,1,1,0,1
8851,56,8,48,2
8852,47,6,41,2
8853,36,1,35,2
8854,53,7,46,2
8855,42,7,35,2
8856,65,7,58,2
8857,72,8,64,2
8858,59,7,52,2
8860,63,10,53,2
8861,2,0,2,1
8862,50,7,43,2
8863,51,10,41,2
8864,47,5,42,2
8865,2,0,2,1
8866,58,2,56,2
8868,55,6,49,2
8869,53,2,51,2
8870,53,11,42,2
8871,46,5,41,2
8872,60,7,53,2
8873,58,2,56,2
8874,52,8,44,2
8875,44,7,37,2
8876,64,7,57,2
8877,51,3,48,2
8878,41,5,36,2
8879,196,196,0,1
8880,65,6,59,2
8881,58,4,54,2
8882,57,4,53,2
8883,56,8,48,2
8884,44,7,37,2
8885,53,7,46,2
8886,68,8,60,2
8887,46,5,41,2
8888,62,6,56,2
8889,58,7,51,2
8890,4,4,0,1
8891,54,6,48,2
8893,65,5,60,2
8894,47,5,42,2
8895,1,1,0,1
8896,45,10,35,2
8897,7,2,5,2
8898,15,0,15,1
8900,62,9,53,2
8902,649,649,0,1
8903,51,4,47,2
8905,1,1,0,1
8906,56,9,47,2
8907,1,1,0,1
8908,52,4,48,2
8909,55,9,46,2
8911,46,2,44,2
8912,60,8,52,2
8913,56,6,50,2
8914,3,0,3,1
8915,41,2,39,2
8916,63,7,56,2
8917,19,19,0,1
8918,53,8,45,2
8920,56,14,42,2
8922,44,2,42,2
8923,61,8,53,2
8925,51,6,45,2
8926,47,11,36,2
8927,3,1,2,2
8928,53,4,49,2
8930,51,6,45,2
8931,54,2,52,2
8932,52,9,43,2
8933,65,8,57,2
8934,52,9,43,2
8935,36,0,36,1
8936,56,5,51,2
8937,45,43,2,2
8938,59,6,53,2
8939,1,1,0,1
8940,24,24,0,1
8941,57,4,53,2
8942,58,6,52,2
8943,47,4,43,2
8944,59,6,53,2
8945,4,2,2,2
8946,52,5,47,2
8947,42,3,39,2
8949,46,4,42,2
8951,561,554,7,2
8952,53,8,45,2
8953,51,6,45,2
8954,63,4,59,2
8955,1,0,1,1
8956,71,9,62,2
8957,56,9,47,2
8958,22,20,2,2
8959,4,1,3,2
8960,66,11,55,2
8961,62,6,56,2
8962,55,4,51,2
8963,51,7,44,2
8964,1,0,1,1
8965,52,5,47,2
8969,57,8,49,2
8970,45,6,39,2
8971,59,10,49,2
8972,50,8,42,2
8973,57,4,53,2
8975,27,27,0,1
8976,54,8,46,2
8977,58,8,50,2
8978,60,9,51,2
8979,58,8,50,2
8981,42,7,35,2
8982,2,0,2,1
8983,64,4,60,2
8984,5,5,0,1
8985,56,6,50,2
8987,29,7,22,2
8988,227,227,0,1
8990,10,9,1,2
8991,11,4,7,2
8992,52,6,46,2
8993,53,9,44,2
8996,58,6,52,2
8998,54,4,50,2
8999,57,2,55,2
9000,6,5,1,2
9001,47,8,39,2
9002,63,16,47,2
9003,9,9,0,1
9004,49,6,43,2
9005,1,1,0,1
9006,59,7,52,2
9007,1,0,1,1
9008,4,0,4,1
9009,41,7,34,2
9010,49,2,47,2
9011,51,7,44,2
9012,63,10,53,2
9013,44,6,38,2
9016,50,6,44,2
9017,46,5,41,2
9018,1,0,1,1
9019,60,11,49,2
9020,54,4,50,2
9021,55,5,50,2
9022,44,8,36,2
9023,50,7,43,2
9024,51,7,44,2
9026,61,7,54,2
9027,60,9,51,2
9028,54,49,5,2
9029,55,8,47,2
9030,71,11,60,2
9031,44,8,36,2
9032,70,11,59,2
9033,56,7,49,2
9034,55,9,46,2
9035,55,10,45,2
9037,42,6,36,2
9038,46,1,45,2
9039,57,5,52,2
9040,51,10,41,2
9041,59,5,54,2
9042,54,5,49,2
9043,55,5,50,2
9044,1,0,1,1
9045,45,6,39,2
9048,58,3,55,2
9049,49,4,45,2
9050,43,8,35,2
9053,47,3,44,2
9054,65,15,50,2
9055,75,4,71,2
9056,47,6,41,2
9057,2,0,2,1
9058,65,9,56,2
9059,58,8,50,2
9060,54,7,47,2
9061,4,1,3,2
9063,10,10,0,1
9065,47,5,42,2
9066,40,5,35,2
9067,51,7,44,2
9068,62,9,53,2
9069,51,7,44,2
9070,52,5,47,2
9071,56,4,52,2
9072,53,5,48,2
9073,57,8,49,2
9074,47,6,41,2
9075,56,4,52,2
9076,54,7,47,2
9077,45,6,39,2
9079,37,4,33,2
9080,49,6,43,2
9081,52,8,44,2
9083,47,5,42,2
9084,84,78,6,2
9085,53,6,47,2
9086,53,5,48,2
9087,50,4,46,2
9088,62,8,54,2
9089,61,10,51,2
9090,53,7,46,2
9091,66,7,59,2
9092,51,2,49,2
9093,44,9,35,2
9094,64,6,58,2
9095,58,8,50,2
9096,59,8,51,2
9097,4,2,2,2
9098,43,6,37,2
9099,60,5,55,2
9101,61,7,54,2
9102,51,2,49,2
9103,47,9,38,2
9104,64,11,53,2
9105,51,8,43,2
9106,49,7,42,2
9107,52,9,43,2
9108,57,12,45,2
9109,54,1,53,2
9110,56,6,50,2
9111,62,7,55,2
9112,152,142,10,2
9113,61,5,56,2
9114,46,6,40,2
9115,46,5,41,2
9117,55,5,50,2
9118,60,8,52,2
9119,60,2,58,2
9121,55,7,48,2
9123,59,5,54,2
9124,55,9,46,2
9125,46,5,41,2
9126,63,7,56,2
9127,66,6,60,2
9128,55,5,50,2
9130,67,7,60,2
9131,54,5,49,2
9132,67,10,57,2
9133,48,3,45,2
9134,53,7,46,2
9136,60,6,54,2
9137,43,4,39,2
9139,64,5,59,2
9140,60,6,54,2
9141,48,2,46,2
9142,50,7,43,2
9143,64,4,60,2
9146,49,5,44,2
9147,59,6,53,2
9148,48,3,45,2
9149,47,3,44,2
9151,61,6,55,2
9152,39,9,30,2
9153,55,8,47,2
9154,68,5,63,2
9155,56,3,53,2
9156,53,3,50,2
9157,45,3,42,2
9159,56,4,52,2
9160,40,7,33,2
9161,49,7,42,2
9163,53,2,51,2
9164,46,7,39,2
9165,60,12,48,2
9166,61,11,50,2
9167,44,9,35,2
9168,62,4,58,2
9169,56,10,46,2
9170,54,8,46,2
9171,43,2,41,2
9172,58,8,50,2
9173,3,0,3,1
9174,58,6,52,2
9175,58,3,55,2
9176,63,7,56,2
9177,68,9,59,2
9178,50,44,6,2
9179,59,59,0,1
9180,51,3,48,2
9181,54,5,49,2
9183,2,2,0,1
9184,53,5,48,2
9186,47,5,42,2
9188,55,2,53,2
9189,54,3,51,2
9191,12,6,6,2
9192,49,5,44,2
9193,67,8,59,2
9195,65,63,2,2
9196,57,6,51,2
9199,13,13,0,1
9201,58,7,51,2
9202,61,4,57,2
9203,40,3,37,2
9204,53,10,43,2
9205,51,9,42,2
9206,52,6,46,2
9207,61,6,55,2
9210,68,7,61,2
9211,58,6,52,2
9213,43,0,43,1
9214,52,8,44,2
9216,61,8,53,2
9217,73,10,63,2
9219,46,6,40,2
9220,45,6,39,2
9221,49,7,42,2
9222,75,14,61,2
9223,57,8,49,2
9224,51,4,47,2
9225,61,9,52,2
9227,53,9,44,2
9228,60,11,49,2
9229,41,4,37,2
9230,2,2,0,1
9231,67,8,59,2
9232,65,4,61,2
9234,43,5,38,2
9235,7,1,6,2
9236,46,4,42,2
9237,59,5,54,2
9238,56,9,47,2
9239,55,7,48,2
9240,46,6,40,2
9241,52,5,47,2
9242,57,5,52,2
9243,56,5,51,2
9244,57,4,53,2
9245,47,7,40,2
9246,52,5,47,2
9247,61,7,54,2
9248,57,6,51,2
9249,66,10,56,2
9250,55,6,49,2
9251,63,5,58,2
9252,42,5,37,2
9254,835,835,0,1
9255,46,2,44,2
9256,59,9,50,2
9257,4,0,4,1
9258,54,10,44,2
9259,46,9,37,2
9260,6,4,2,2
9261,52,8,44,2
9262,58,4,54,2
9263,50,8,42,2
9264,53,7,46,2
9265,58,6,52,2
9266,38,6,32,2
9267,47,6,41,2
9268,57,4,53,2
9270,66,11,55,2
9271,56,3,53,2
9272,47,5,42,2
9273,61,7,54,2
9274,57,7,50,2
9275,52,4,48,2
9276,40,5,35,2
9277,48,4,44,2
9278,5,0,5,1
9279,1482,414,1068,2
9281,44,6,38,2
9282,9,0,9,1
9283,56,12,44,2
9284,55,10,45,2
9287,52,10,42,2
9288,42,5,37,2
9289,45,5,40,2
9291,47,5,42,2
9292,55,7,48,2
9294,24,7,17,2
9295,50,4,46,2
9296,52,1,51,2
9297,64,9,55,2
9299,47,11,36,2
9300,49,7,42,2
9301,67,9,58,2
9304,55,8,47,2
9305,64,7,57,2
9306,67,7,60,2
9308,49,46,3,2
9309,57,9,48,2
9311,59,5,54,2
9312,68,5,63,2
9313,63,10,53,2
9314,56,3,53,2
9316,95,95,0,1
9317,55,3,52,2
9318,70,8,62,2
9319,54,8,46,2
9321,62,7,55,2
9322,78,9,69,2
9324,39,5,34,2
9325,58,8,50,2
9326,57,12,45,2
9327,51,7,44,2
9328,12,12,0,1
9329,4,3,1,2
9330,51,9,42,2
9331,69,9,60,2
9332,54,7,47,2
9333,50,5,45,2
9334,54,8,46,2
9335,2,2,0,1
9336,54,5,49,2
9337,2,2,0,1
9338,12,11,1,2
9339,2,0,2,1
9340,48,2,46,2
9341,77,7,70,2
9342,62,8,54,2
9344,59,9,50,2
9345,59,4,55,2
9346,1,0,1,1
9350,250,223,27,2
9351,4,0,4,1
9352,57,9,48,2
9353,54,7,47,2
9354,8,1,7,2
9355,57,7,50,2
9356,62,7,55,2
9357,46,2,44,2
9358,57,6,51,2
9359,3,1,2,2
9360,54,4,50,2
9362,58,6,52,2
9363,46,46,0,1
9364,56,3,53,2
9366,49,7,42,2
9367,25,1,24,2
9368,48,5,43,2
9369,50,9,41,2
9370,51,5,46,2
9371,57,6,51,2
9372,44,5,39,2
9373,54,6,48,2
9374,62,11,51,2
9375,60,11,49,2
9377,61,7,54,2
9378,60,6,54,2
9379,59,8,51,2
9380,11,11,0,1
9381,42,5,37,2
9382,54,3,51,2
9383,59,4,55,2
9385,45,6,39,2
9387,46,5,41,2
9389,62,9,53,2
9390,64,7,57,2
9391,54,6,48,2
9392,57,0,57,1
9394,46,2,44,2
9395,2,1,1,2
9397,44,2,42,2
9398,56,4,52,2
9399,52,10,42,2
9400,54,12,42,2
9401,50,8,42,2
9403,66,5,61,2
9404,62,9,53,2
9406,13,0,13,1
9408,52,5,47,2
9409,60,3,57,2
9410,53,8,45,2
9413,126,125,1,2
9414,54,7,47,2
9416,62,7,55,2
9417,44,7,37,2
9418,3,0,3,1
9419,45,6,39,2
9420,9,5,4,2
9421,42,4,38,2
9423,64,11,53,2
9424,9,0,9,1
9425,43,8,35,2
9426,59,4,55,2
9427,51,8,43,2
9428,60,6,54,2
9429,63,6,57,2
9430,67,10,57,2
9432,50,8,42,2
9433,2,1,1,2
9435,2,1,1,2
9436,61,14,47,2
9437,67,9,58,2
9438,51,10,41,2
9439,2,2,0,1
9440,55,7,48,2
9441,48,6,42,2
9442,52,5,47,2
9443,57,5,52,2
9444,61,5,56,2
9445,63,12,51,2
9446,2,0,2,1
9447,65,7,58,2
9449,52,4,48,2
9450,61,8,53,2
9451,61,11,50,2
9452,50,4,46,2
9453,51,5,46,2
9454,44,3,41,2
9455,60,8,52,2
9456,49,5,44,2
9457,54,9,45,2
9461,61,3,58,2
9462,47,8,39,2
9463,60,8,52,2
9464,52,10,42,2
9465,40,22,18,2
9466,56,5,51,2
9467,48,6,42,2
9468,54,8,46,2
9469,42,6,36,2
9470,53,5,48,2
9472,49,8,41,2
9473,68,9,59,2
9474,51,14,37,2
9475,73,6,67,2
9476,2,0,2,1
9477,48,5,43,2
9478,50,47,3,2
9479,39,2,37,2
9480,54,6,48,2
9481,33,1,32,2
9482,5,0,5,1
9483,62,12,50,2
9484,41,5,36,2
9485,60,8,52,2
9486,3,3,0,1
9487,56,3,53,2
9489,57,4,53,2
9490,44,1,43,2
9491,1,0,1,1
9492,58,8,50,2
9493,51,6,45,2
9496,45,5,40,2
9497,40,3,37,2
9498,2,0,2,1
9499,41,3,38,2
9500,45,5,40,2
9501,51,7,44,2
9502,60,7,53,2
9503,59,4,55,2
9504,57,5,52,2
9505,48,3,45,2
9506,64,9,55,2
9507,61,14,47,2
9508,48,4,44,2
9509,43,5,38,2
9510,53,14,39,2
9511,55,4,51,2
9513,32,31,1,2
9515,44,6,38,2
9516,52,6,46,2
9517,56,8,48,2
9518,57,6,51,2
9520,64,8,56,2
9522,54,5,49,2
9523,46,6,40,2
9524,55,5,50,2
9525,54,5,49,2
9526,49,10,39,2
9527,54,10,44,2
9528,68,9,59,2
9529,64,6,58,2
9530,56,9,47,2
9533,57,9,48,2
9535,35,4,31,2
9536,62,5,57,2
9537,52,5,47,2
9538,83,70,13,2
9539,65,4,61,2
9541,4,2,2,2
9542,54,4,50,2
9543,5,1,4,2
9544,51,5,46,2
9546,52,5,47,2
9547,67,7,60,2
9548,6,1,5,2
9549,58,6,52,2
9550,51,5,46,2
9551,63,5,58,2
9553,65,6,59,2
9554,54,7,47,2
9555,66,2,64,2
9556,46,3,43,2
9558,68,9,59,2
9559,7,2,5,2
9560,54,6,48,2
9561,55,8,47,2
9562,51,4,47,2
9563,6,2,4,2
9564,48,7,41,2
9565,58,10,48,2
9568,58,7,51,2
9569,50,7,43,2
9570,1,1,0,1
9571,57,6,51,2
9572,45,4,41,2
9574,57,9,48,2
9575,55,13,42,2
9576,60,4,56,2
9577,63,9,54,2
9578,44,5,39,2
9580,66,11,55,2
9581,53,6,47,2
9582,62,6,56,2
9583,65,9,56,2
9584,44,6,38,2
9585,59,10,49,2
9586,47,4,43,2
9587,67,12,55,2
9588,42,0,42,1
9590,54,7,47,2
9591,58,3,55,2
9592,57,5,52,2
9596,49,6,43,2
9597,61,8,53,2
9598,59,6,53,2
9599,51,6,45,2
9601,56,8,48,2
9602,49,10,39,2
9603,121,116,5,2
9604,55,7,48,2
9605,52,6,46,2
9606,65,5,60,2
9607,58,6,52,2
9608,60,5,55,2
9609,136,130,6,2
9610,50,6,44,2
9611,52,3,49,2
9612,50,10,40,2
9613,54,8,46,2
9614,54,8,46,2
9615,39,4,35,2
9616,51,5,46,2
9617,50,6,44,2
9618,60,8,52,2
9619,44,7,37,2
9620,70,6,64,2
9621,8,8,0,1
9622,54,10,44,2
9623,56,4,52,2
9624,18,16,2,2
9625,46,3,43,2
9626,67,10,57,2
9627,51,5,46,2
9628,58,3,55,2
9629,55,10,45,2
9630,37,1,36,2
9632,54,4,50,2
9633,55,8,47,2
9634,60,4,56,2
9635,33,13,20,2
9636,54,5,49,2
9637,66,4,62,2
9638,57,6,51,2
9639,51,8,43,2
9640,55,5,50,2
9641,49,4,45,2
9642,63,10,53,2
9643,59,13,46,2
9646,48,7,41,2
9648,53,4,49,2
9649,46,6,40,2
9650,54,7,47,2
9651,55,6,49,2
9652,1,0,1,1
9653,55,9,46,2
9654,50,7,43,2
9655,56,6,50,2
9656,48,3,45,2
9657,57,2,55,2
9658,60,3,57,2
9659,68,11,57,2
9660,57,5,52,2
9661,57,9,48,2
9662,51,5,46,2
9665,48,2,46,2
