,is_weekend,count_supports,count_all_days,supports_per_day,supports_per_week,count_of_month,count_of_week,max_subsequence,max_subsequence_week,count_of_bad_trigger_calls,count_of_good_calls
8343,0.6666666666666666,9,2,4.5,9.0,1,1,6,9,4,0
41110,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8348,0.0,8,1,8.0,8.0,1,1,8,8,2,0
123037,0.3333333333333333,15,4,3.75,5.0,2,3,9,10,4,0
49311,0.25,4,2,2.0,4.0,1,1,3,4,2,0
8353,0.0,5,1,5.0,5.0,1,1,5,5,1,0
49313,0.0,3,1,3.0,1.5,2,2,3,2,2,0
131236,0.0,3,1,3.0,3.0,1,1,3,3,1,0
41125,1.0,3,1,3.0,3.0,1,1,3,3,0,0
41126,0.0,7,1,7.0,7.0,1,1,7,7,1,0
8356,0.0,8,1,8.0,4.0,2,2,8,4,0,0
49320,0.35714285714285715,14,4,3.5,4.666666666666667,1,3,6,8,6,0
32936,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8360,0.0,2,2,1.0,1.0,2,2,1,1,0,0
8363,0.3333333333333333,3,2,1.5,1.5,2,2,2,2,0,0
8365,0.25,4,2,2.0,1.3333333333333333,2,3,3,2,0,0
8375,0.0,5,2,2.5,2.5,1,2,3,3,2,0
8376,0.25,4,2,2.0,2.0,2,2,3,3,0,0
49339,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8381,0.0,2,1,2.0,2.0,1,1,2,2,0,0
8385,0.0,2,1,2.0,2.0,1,1,2,2,0,0
49348,0.3333333333333333,9,3,3.0,4.5,1,2,6,6,5,0
8396,0.0,3,2,1.5,1.5,1,2,2,2,1,0
8397,0.0,2,2,1.0,1.0,2,2,1,1,0,0
8403,0.5,2,2,1.0,1.0,1,2,1,1,0,0
49366,0.4482758620689655,29,14,2.0714285714285716,3.2222222222222223,2,9,5,6,2,3
8408,0.14285714285714285,7,4,1.75,1.75,2,4,3,3,2,0
270553,0.0,3,2,1.5,3.0,1,1,2,3,3,0
8411,0.0,1,1,1.0,1.0,1,1,1,1,1,0
49372,0.0,3,2,1.5,1.5,2,2,2,2,0,0
32989,0.2,5,4,1.25,1.25,2,4,2,2,0,0
49377,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49378,0.0,4,2,2.0,2.0,1,2,3,3,0,0
8421,0.0,4,2,2.0,2.0,2,2,2,2,2,0
41190,0.4090909090909091,22,16,1.375,2.75,2,8,4,5,0,0
8187,1.0,3,1,3.0,3.0,1,1,3,3,0,0
49385,0.4,5,3,1.6666666666666667,1.25,2,4,2,2,0,0
49386,0.0,1,1,1.0,1.0,1,1,1,1,0,0
270571,1.0,1,1,1.0,1.0,1,1,1,1,0,0
8428,0.0,1,1,1.0,1.0,1,1,1,1,1,0
49389,0.15789473684210525,19,13,1.4615384615384615,2.7142857142857144,2,7,4,5,0,2
8431,0.2727272727272727,11,5,2.2,2.75,2,4,3,4,4,0
82159,0.25,8,8,1.0,2.0,1,4,1,3,0,0
8438,0.0,3,2,1.5,1.5,1,2,2,2,0,0
8440,0.0,4,2,2.0,2.0,1,2,2,2,1,0
49401,0.0,2,2,1.0,1.0,2,2,1,1,0,0
8445,0.0,6,2,3.0,3.0,2,2,4,4,1,0
41213,0.0,6,5,1.2,1.2,2,5,2,2,0,0
49407,0.0,2,2,1.0,1.0,1,2,1,1,1,0
49412,0.125,8,3,2.6666666666666665,2.6666666666666665,2,3,6,5,1,0
270599,0.0,2,1,2.0,2.0,1,1,2,2,0,0
147720,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49418,1.0,1,1,1.0,1.0,1,1,1,1,0,0
8458,0.25,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,0,0
8468,1.0,1,1,1.0,1.0,1,1,1,1,0,0
196887,0.5,6,2,3.0,3.0,1,2,3,3,1,0
8475,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49436,0.4166666666666667,12,12,1.0,1.7142857142857142,2,7,1,2,0,0
49438,0.0,1,1,1.0,1.0,1,1,1,1,1,0
8479,0.0,8,2,4.0,4.0,2,2,4,5,1,0
41247,0.5,2,2,1.0,1.0,2,2,1,1,2,0
221473,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49440,0.35,20,15,1.3333333333333333,2.2222222222222223,2,9,2,4,0,0
8483,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49441,0.3333333333333333,6,3,2.0,2.0,1,3,2,2,0,0
196901,0.0,4,3,1.3333333333333333,2.0,2,2,2,2,1,0
49444,0.0,5,2,2.5,2.5,1,2,4,4,0,0
41263,1.0,13,2,6.5,13.0,1,1,11,13,2,0
8496,0.3333333333333333,6,3,2.0,2.0,2,3,2,2,2,0
49461,0.75,8,4,2.0,2.6666666666666665,2,3,3,4,3,3
8503,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8509,0.3333333333333333,3,2,1.5,3.0,1,1,2,3,2,0
270654,0.18181818181818182,11,7,1.5714285714285714,2.75,2,4,3,6,1,0
49471,0.0,5,3,1.6666666666666667,1.6666666666666667,2,3,2,2,0,0
49469,0.0,7,3,2.3333333333333335,1.75,2,4,4,2,0,1
49479,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8519,0.0,4,4,1.0,1.3333333333333333,2,3,1,2,0,0
115019,0.0,2,1,2.0,2.0,1,1,2,2,1,0
8523,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8525,0.3333333333333333,15,8,1.875,2.5,2,6,6,5,3,0
213329,0.0,2,2,1.0,2.0,1,1,1,2,0,0
49495,0.0,3,2,1.5,1.5,1,2,2,2,1,0
221528,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49496,0.0,3,3,1.0,1.0,2,3,1,1,0,0
221531,0.0,6,2,3.0,3.0,1,2,4,4,4,0
41307,0.2222222222222222,9,4,2.25,3.0,1,3,6,7,4,0
33118,0.0,6,1,6.0,6.0,1,1,6,6,2,0
8544,0.9090909090909091,11,3,3.6666666666666665,5.5,2,2,9,9,3,0
49505,0.0,3,1,3.0,3.0,1,1,3,3,0,0
82276,0.0,2,1,2.0,2.0,1,1,2,2,1,0
49509,0.0,3,1,3.0,3.0,1,1,3,3,0,0
8554,0.0,3,2,1.5,3.0,1,1,2,3,0,0
49519,0.6666666666666666,3,3,1.0,1.0,2,3,1,1,1,0
8560,0.3333333333333333,3,2,1.5,1.5,1,2,2,2,1,0
33137,0.3333333333333333,3,3,1.0,1.5,1,2,1,2,1,0
98674,0.0,2,1,2.0,2.0,1,1,2,2,2,0
49523,1.0,7,3,2.3333333333333335,2.3333333333333335,1,3,3,3,0,0
8565,1.0,2,1,2.0,1.0,2,2,2,1,0,0
49526,0.0,3,3,1.0,1.5,2,2,1,2,3,0
8567,0.07142857142857142,14,3,4.666666666666667,7.0,2,2,9,10,1,0
41335,0.2727272727272727,11,7,1.5714285714285714,1.8333333333333333,2,6,3,3,1,10
8569,0.0,6,1,6.0,6.0,1,1,6,6,2,0
8570,0.7272727272727273,11,2,5.5,11.0,1,1,8,11,2,0
49529,0.0,7,4,1.75,3.5,2,2,3,4,3,0
8572,0.0,3,3,1.0,1.0,1,3,1,1,0,0
49534,0.07692307692307693,13,5,2.6,3.25,2,4,9,9,0,0
49536,0.0,5,2,2.5,5.0,1,1,3,5,2,0
8577,0.2857142857142857,7,2,3.5,3.5,2,2,5,5,6,0
8579,0.3333333333333333,6,2,3.0,2.0,2,3,4,3,0,0
49540,0.0,2,2,1.0,1.0,2,2,1,1,0,0
8585,0.0,3,3,1.0,1.0,2,3,1,1,0,0
8586,0.25,8,3,2.6666666666666665,4.0,2,2,3,5,0,0
49548,0.2,5,4,1.25,1.6666666666666667,1,3,2,3,1,0
49550,0.14285714285714285,7,6,1.1666666666666667,1.4,2,5,2,2,0,0
49551,0.0,1,1,1.0,1.0,1,1,1,1,1,0
41359,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8595,0.0,1,1,1.0,1.0,1,1,1,1,1,0
49556,0.5,4,2,2.0,1.3333333333333333,2,3,2,2,3,0
41368,0.0,10,2,5.0,5.0,1,2,9,9,3,0
49560,0.375,8,6,1.3333333333333333,1.6,2,5,3,3,5,0
49564,0.0,4,4,1.0,1.0,2,4,1,1,1,0
41373,0.0,10,2,5.0,5.0,2,2,8,8,2,0
213406,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8604,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49568,0.0,2,1,2.0,2.0,1,1,2,2,1,0
49573,0.2,5,4,1.25,1.6666666666666667,2,3,2,2,0,0
49576,0.0,1,1,1.0,1.0,1,1,1,1,1,0
8616,0.0,1,1,1.0,1.0,1,1,1,1,0,0
41388,0.75,8,6,1.3333333333333333,1.3333333333333333,2,6,2,2,0,0
41389,0.0,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,0,0
49583,0.6666666666666666,3,2,1.5,1.5,1,2,2,2,1,0
8627,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49587,0.3333333333333333,3,3,1.0,1.0,2,3,1,1,0,0
8629,0.5,2,2,1.0,1.0,2,2,1,1,0,0
49589,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8631,0.0,3,2,1.5,1.5,2,2,2,2,0,0
49593,0.3333333333333333,6,3,2.0,2.0,2,3,4,4,2,0
8635,0.8333333333333334,6,4,1.5,3.0,1,2,3,5,0,0
49596,0.2857142857142857,7,7,1.0,1.0,2,7,1,1,0,0
8637,0.0,2,1,2.0,2.0,1,1,2,2,0,0
8639,0.0,21,5,4.2,4.2,2,5,8,8,7,0
49600,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49601,0.0,5,3,1.6666666666666667,1.6666666666666667,2,3,3,3,0,3
49602,0.0,2,2,1.0,1.0,1,2,1,1,0,0
49603,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8644,0.0,5,4,1.25,1.6666666666666667,2,3,2,3,0,0
49605,0.0,7,2,3.5,3.5,2,2,4,4,3,0
49606,0.06666666666666667,15,8,1.875,2.142857142857143,2,7,4,3,0,2
33223,0.14285714285714285,7,3,2.3333333333333335,2.3333333333333335,2,3,4,4,0,0
49608,0.3333333333333333,3,2,1.5,1.5,2,2,2,2,0,0
49609,0.0,3,2,1.5,3.0,1,1,2,3,0,0
49610,0.0,5,3,1.6666666666666667,1.6666666666666667,2,3,2,2,0,0
8651,0.25,4,3,1.3333333333333333,2.0,2,2,2,3,0,0
8652,0.3333333333333333,18,9,2.0,3.6,2,5,3,7,0,15
49614,0.8461538461538461,13,6,2.1666666666666665,2.6,2,5,4,4,1,7
8656,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49618,0.5,4,4,1.0,2.0,1,2,1,3,0,1
205268,0.2631578947368421,19,6,3.1666666666666665,4.75,1,4,6,9,8,2
8662,0.0,1,1,1.0,1.0,1,1,1,1,0,0
213463,0.5,4,2,2.0,2.0,1,2,2,2,2,0
49624,0.25,8,5,1.6,1.1428571428571428,2,7,2,2,0,0
49622,0.0,3,2,1.5,1.5,2,2,2,2,0,0
8667,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49627,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49633,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49635,0.0,1,1,1.0,1.0,1,1,1,1,1,0
57828,0.0,1,1,1.0,1.0,1,1,1,1,0,0
41445,0.0,4,3,1.3333333333333333,2.0,2,2,2,2,1,0
8678,0.0,3,1,3.0,3.0,1,1,3,3,0,0
8680,0.0,2,1,2.0,2.0,1,1,2,2,1,0
41449,1.0,2,1,2.0,2.0,1,1,2,2,1,0
41450,0.5,2,2,1.0,1.0,1,2,1,1,1,0
41448,0.0,2,1,2.0,2.0,1,1,2,2,0,0
156145,0.0,3,3,1.0,1.0,1,3,1,1,1,0
8691,0.5,4,3,1.3333333333333333,2.0,1,2,2,3,2,0
49653,0.0,5,2,2.5,5.0,1,1,3,5,0,0
8694,0.7,10,3,3.3333333333333335,2.5,2,4,6,4,0,0
49655,0.0,1,1,1.0,1.0,1,1,1,1,0,0
33272,0.6666666666666666,3,2,1.5,1.5,1,2,2,2,0,0
49658,0.0,4,2,2.0,2.0,2,2,3,3,2,0
8699,0.0,4,3,1.3333333333333333,2.0,2,2,2,2,0,0
8700,0.26865671641791045,67,31,2.161290322580645,7.444444444444445,2,9,4,10,2,59
8707,0.0,1,1,1.0,1.0,1,1,1,1,0,0
41476,0.0,2,1,2.0,2.0,1,1,2,2,1,0
8711,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49674,0.0,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,0,0
131598,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49680,0.0,8,2,4.0,4.0,1,2,7,7,1,0
213522,0.3333333333333333,3,2,1.5,1.5,2,2,2,2,0,0
8726,0.0,3,1,3.0,3.0,1,1,3,3,0,2
33303,0.2,5,3,1.6666666666666667,2.5,2,2,3,4,3,0
49686,0.6666666666666666,15,6,2.5,2.5,2,6,4,4,2,0
33308,1.0,2,1,2.0,2.0,1,1,2,2,0,0
49692,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49696,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49703,0.23529411764705882,17,11,1.5454545454545454,2.4285714285714284,2,7,2,4,0,0
49705,0.0,1,1,1.0,1.0,1,1,1,1,1,0
115244,0.0,2,1,2.0,2.0,1,1,2,2,2,0
270893,0.0,6,1,6.0,6.0,1,1,6,6,0,0
98860,0.09090909090909091,11,8,1.375,2.75,2,4,2,5,0,0
49710,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8750,0.0,2,1,2.0,2.0,1,1,2,2,0,0
8754,0.0,2,1,2.0,2.0,1,1,2,2,0,0
49716,1.0,6,2,3.0,6.0,1,1,4,6,1,0
41525,0.5,2,2,1.0,1.0,1,2,1,1,0,0
8762,0.0,3,2,1.5,1.5,2,2,2,2,0,0
49726,0.0,4,3,1.3333333333333333,1.0,2,4,2,1,0,0
49727,0.16666666666666666,6,4,1.5,2.0,2,3,3,3,0,0
8768,0.0,3,2,1.5,1.5,1,2,2,2,0,0
49729,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49730,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8771,0.25,12,11,1.0909090909090908,1.7142857142857142,2,7,2,3,0,0
49734,0.6,5,4,1.25,2.5,2,2,2,3,1,0
49735,0.0,6,4,1.5,1.5,2,4,2,2,0,0
49736,0.2857142857142857,7,5,1.4,1.4,2,5,3,3,0,0
270923,0.0,7,2,3.5,7.0,1,1,6,7,3,0
49740,0.6666666666666666,3,2,1.5,1.5,2,2,2,2,2,0
221773,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8779,0.6666666666666666,3,2,1.5,1.5,2,2,2,2,0,0
49741,0.0,3,3,1.0,1.5,2,2,1,2,0,0
49743,0.5,2,2,1.0,1.0,1,2,1,1,0,0
49746,0.0,1,1,1.0,1.0,1,1,1,1,1,0
49747,0.0,3,2,1.5,1.5,2,2,2,2,1,0
49748,0.2,5,5,1.0,1.0,2,5,1,1,0,0
49754,0.0,13,8,1.625,2.6,2,5,4,5,3,2
41563,0.0,2,1,2.0,2.0,1,1,2,2,1,0
8796,0.5555555555555556,9,3,3.0,9.0,1,1,5,9,4,0
49755,0.0,3,2,1.5,1.5,2,2,2,2,2,0
8797,0.6,5,3,1.6666666666666667,2.5,1,2,2,3,0,2
49770,1.0,2,1,2.0,2.0,1,1,2,2,1,0
41579,0.0,6,2,3.0,3.0,1,2,4,4,3,0
41584,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49778,0.0,4,2,2.0,2.0,2,2,3,3,2,0
8819,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49781,0.3333333333333333,9,6,1.5,2.25,2,4,2,4,0,0
49782,0.3333333333333333,3,2,1.5,1.5,2,2,2,2,0,0
49784,0.25925925925925924,27,15,1.8,3.375,2,8,5,6,0,15
270975,0.0,3,1,3.0,3.0,1,1,3,3,1,0
49793,0.25,24,12,2.0,3.0,2,8,3,7,3,0
33412,0.0,7,1,7.0,7.0,1,1,7,7,2,0
8841,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49801,0.45454545454545453,11,6,1.8333333333333333,2.2,2,5,4,4,2,0
49806,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49808,0.3333333333333333,3,3,1.0,1.5,1,2,1,2,0,0
98970,0.0,11,7,1.5714285714285714,2.2,2,5,3,6,3,0
49819,1.0,3,1,3.0,3.0,1,1,3,3,2,0
49818,0.0,1,1,1.0,1.0,1,1,1,1,0,0
271005,0.0,3,1,3.0,3.0,1,1,3,3,2,0
49824,0.29411764705882354,17,4,4.25,8.5,1,2,7,12,8,0
49832,1.0,4,1,4.0,2.0,2,2,4,2,0,0
41643,1.0,2,2,1.0,2.0,1,1,1,2,0,0
49835,0.0,6,2,3.0,3.0,2,2,4,4,0,0
49837,0.5,6,3,2.0,3.0,2,2,3,4,2,0
49838,0.0,4,1,4.0,4.0,1,1,4,4,0,0
98991,0.0,6,4,1.5,2.0,2,3,2,4,3,0
8879,1.0,3,1,3.0,3.0,1,1,3,3,1,0
33458,0.0,3,2,1.5,1.5,2,2,2,2,1,0
49843,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49845,0.0,4,1,4.0,4.0,1,1,4,4,0,0
49846,0.0,6,2,3.0,3.0,1,2,5,5,3,0
8890,0.0,6,3,2.0,2.0,2,3,3,3,2,0
49850,0.25,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,0,0
49851,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8895,0.0,2,1,2.0,2.0,1,1,2,2,0,0
8897,0.0,3,1,3.0,3.0,1,1,3,3,0,0
8898,0.0,2,1,2.0,2.0,1,1,2,2,0,0
49859,0.5,6,3,2.0,2.0,2,3,3,3,0,0
8901,0.2857142857142857,7,4,1.75,2.3333333333333335,2,3,2,4,0,0
49861,0.2,5,4,1.25,2.5,2,2,2,3,0,0
8904,0.0,1,1,1.0,1.0,1,1,1,1,0,0
271049,0.4166666666666667,12,7,1.7142857142857142,1.7142857142857142,2,7,4,5,1,0
205513,0.0,4,3,1.3333333333333333,2.0,2,2,2,3,0,0
156363,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8907,1.0,3,1,3.0,3.0,1,1,3,3,0,0
49867,0.3333333333333333,9,8,1.125,1.5,2,6,2,3,0,0
8910,1.0,2,1,2.0,1.0,2,2,2,1,0,0
49874,0.0,10,2,5.0,5.0,1,2,9,9,3,0
123604,0.0,4,2,2.0,2.0,1,2,3,3,3,0
8917,0.5,2,2,1.0,1.0,1,2,1,1,1,0
49879,0.8,5,2,2.5,5.0,1,1,4,5,0,0
8921,0.0,1,1,1.0,1.0,1,1,1,1,0,0
156379,0.0,9,2,4.5,9.0,1,1,7,9,3,0
41691,0.5,2,2,1.0,1.0,1,2,1,1,0,0
33499,0.2,5,5,1.0,1.25,2,4,1,2,0,0
8929,0.2,10,5,2.0,2.0,2,5,3,4,3,0
213729,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49890,0.0,2,2,1.0,1.0,2,2,1,1,0,0
49893,1.0,1,1,1.0,1.0,1,1,1,1,0,0
8935,1.0,2,2,1.0,1.0,1,2,1,1,0,0
271082,0.2,15,4,3.75,5.0,2,3,11,12,2,0
8940,0.6666666666666666,3,2,1.5,1.5,1,2,2,2,3,0
8945,0.0,7,3,2.3333333333333335,2.3333333333333335,2,3,3,3,2,0
41713,0.2857142857142857,7,5,1.4,1.4,2,5,2,2,0,1
33523,0.0,2,1,2.0,2.0,1,1,2,2,2,0
33524,0.3333333333333333,6,6,1.0,1.2,2,5,1,2,0,6
99061,1.0,1,1,1.0,1.0,1,1,1,1,0,0
8948,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49908,0.75,4,2,2.0,2.0,2,2,3,3,0,0
8950,1.0,2,1,2.0,2.0,1,1,2,2,0,0
8955,0.3333333333333333,3,2,1.5,1.5,2,2,2,2,0,0
8958,0.0,3,2,1.5,1.5,2,2,2,2,0,0
49919,0.0,3,2,1.5,1.5,1,2,2,2,0,0
49920,0.75,8,3,2.6666666666666665,2.6666666666666665,2,3,5,4,1,0
49923,0.2727272727272727,11,10,1.1,1.5714285714285714,2,7,2,2,0,0
8964,0.0,1,1,1.0,1.0,1,1,1,1,0,0
49925,0.0,5,2,2.5,2.5,2,2,4,4,0,0
49928,0.0,11,6,1.8333333333333333,2.75,2,4,4,6,3,0
49932,1.0,1,1,1.0,1.0,1,1,1,1,0,0
8974,0.0,2,2,1.0,1.0,2,2,1,1,0,0
8975,0.0,8,2,4.0,4.0,2,2,5,5,0,0
189202,0.1875,16,13,1.2307692307692308,3.2,1,5,3,5,4,0
49942,0.0,5,1,5.0,5.0,1,1,5,5,1,0
8982,0.0,10,6,1.6666666666666667,2.0,2,5,5,5,2,0
49943,0.17647058823529413,17,12,1.4166666666666667,2.8333333333333335,2,6,2,5,0,0
8988,0.0,3,3,1.0,1.0,1,3,1,1,0,0
49949,0.0,2,1,2.0,2.0,1,1,2,2,1,0
8990,0.75,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,1,0
8989,0.75,4,2,2.0,1.3333333333333333,2,3,3,2,0,0
49953,0.0,2,2,1.0,1.0,2,2,1,1,0,0
8994,0.0,1,1,1.0,1.0,1,1,1,1,1,0
8995,0.5,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,0,0
49957,0.09090909090909091,11,4,2.75,5.5,2,2,7,10,4,0
9000,0.0,5,1,5.0,5.0,1,1,5,5,0,0
9003,0.0,5,2,2.5,5.0,1,1,3,5,0,2
49968,0.34,50,28,1.7857142857142858,5.555555555555555,2,9,5,9,2,0
33584,0.42857142857142855,7,3,2.3333333333333335,2.3333333333333335,2,3,3,3,1,0
49976,0.375,8,6,1.3333333333333333,1.6,2,5,2,3,1,0
156473,0.6206896551724138,29,8,3.625,7.25,2,4,9,14,12,0
9018,0.0,1,1,1.0,1.0,1,1,1,1,1,0
49987,0.0,5,3,1.6666666666666667,2.5,2,2,2,4,1,0
9028,0.1,10,4,2.5,2.0,2,5,6,3,0,0
90950,0.4166666666666667,12,10,1.2,2.0,2,6,3,3,0,0
271179,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49998,0.0,11,2,5.5,11.0,1,1,10,11,5,0
49999,0.0,5,1,5.0,2.5,2,2,5,3,0,0
50000,0.09090909090909091,11,3,3.6666666666666665,3.6666666666666665,2,3,6,7,0,0
41809,0.0,3,1,3.0,3.0,1,1,3,3,1,0
50003,0.0,5,2,2.5,5.0,1,1,3,5,3,0
9046,0.125,8,4,2.0,2.6666666666666665,2,3,3,4,4,0
9047,0.45,20,5,4.0,4.0,2,5,10,7,7,0
41816,1.0,2,1,2.0,2.0,1,1,2,2,0,0
50008,0.4,10,7,1.4285714285714286,1.6666666666666667,2,6,2,3,0,0
50009,0.0,11,4,2.75,3.6666666666666665,1,3,4,6,0,0
9051,0.0,3,3,1.0,1.0,2,3,1,1,0,0
41821,1.0,1,1,1.0,1.0,1,1,1,1,1,0
9057,0.0,7,1,7.0,7.0,1,1,7,7,2,0
50018,0.1111111111111111,9,3,3.0,3.0,2,3,6,6,2,0
50017,0.2,5,3,1.6666666666666667,1.6666666666666667,2,3,3,3,0,0
33637,0.0,7,3,2.3333333333333335,3.5,2,2,4,6,1,0
9063,0.0,2,2,1.0,1.0,2,2,1,1,0,0
33646,0.25,16,14,1.1428571428571428,2.2857142857142856,2,7,2,4,0,0
213871,0.0,1,1,1.0,1.0,1,1,1,1,0,0
50032,0.6666666666666666,6,2,3.0,2.0,2,3,4,2,1,0
33649,0.0,1,1,1.0,1.0,1,1,1,1,0,0
50036,0.5,4,2,2.0,2.0,2,2,2,2,0,0
50041,0.0,2,1,2.0,2.0,1,1,2,2,1,0
33657,0.5,8,8,1.0,1.1428571428571428,2,7,1,2,0,0
9082,0.0,1,1,1.0,1.0,1,1,1,1,0,0
9084,0.25,4,4,1.0,1.3333333333333333,1,3,1,2,0,0
50042,0.0,2,2,1.0,1.0,2,2,1,1,0,0
